District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Chyle,0
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Semen Analysis,649
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Bence John's Protein,28
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Specific gravity,7
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Others,12
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Stool Test,2342
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Occult blood,164
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Reducing sugar,0
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Urine test,14239
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Bile salts,0
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Bile Pigments,0
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Urobili nogen,0
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Porpho bilinogen,9
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Acetone,81
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Chyle,1
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Semen Analysis,19
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Bence John's Protein,0
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Specific gravity,0
Gorkha,Gandaki,Hill,Western,2070/71,2013/14,Others,14
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Stool Test,1857
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Occult blood,102
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Reducing sugar,0
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Urine test,11242
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Bile salts,0
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Bile Pigments,0
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Urobili nogen,0
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Porpho bilinogen,7
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Acetone,49
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Chyle,0
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Semen Analysis,8
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Bence John's Protein,28
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Specific gravity,0
