District,Year,Visit,Age group,Number of women
Dhankuta,2068/69,Fourth Visit,Four Time Visits,2001
Teharthum,2068/69,First Visit,< 20 Year,476
Teharthum,2068/69,First Visit,> or equal 20 Years,1508
Teharthum,2068/69,Fourth Visit,Four Time Visits,1025
Sankhuwasabha,2068/69,First Visit,< 20 Year,822
Sankhuwasabha,2068/69,First Visit,> or equal 20 Years,2340
Sankhuwasabha,2068/69,Fourth Visit,Four Time Visits,1534
Bhojpur,2068/69,First Visit,< 20 Year,756
Bhojpur,2068/69,First Visit,> or equal 20 Years,2543
Bhojpur,2068/69,Fourth Visit,Four Time Visits,1568
Solukhumbu,2068/69,First Visit,< 20 Year,563
Solukhumbu,2068/69,First Visit,> or equal 20 Years,2193
Solukhumbu,2068/69,Fourth Visit,Four Time Visits,1734
Okhaldhunga,2068/69,First Visit,< 20 Year,617
Okhaldhunga,2068/69,First Visit,> or equal 20 Years,2317
Okhaldhunga,2068/69,Fourth Visit,Four Time Visits,1619
Khotang,2068/69,First Visit,< 20 Year,1051
Khotang,2068/69,First Visit,> or equal 20 Years,3859
Khotang,2068/69,Fourth Visit,Four Time Visits,2929
Udaypur,2068/69,First Visit,< 20 Year,1436
Udaypur,2068/69,First Visit,> or equal 20 Years,5509
Udaypur,2068/69,Fourth Visit,Four Time Visits,3891
